1091,849
1119,1092
1164,1326
1208,1546
1273,1758
1389,1945
1532,2097
1726,2189
1967,2198
2212,2178
2422,2085
2576,1929
2695,1739
2755,1519
2788,1292
2819,1052
2837,805
1218,848
1325,753
1483,724
1649,738
1815,783
2021,796
2186,732
2359,703
2529,731
2657,826
1914,941
1917,1122
1919,1299
1922,1478
1737,1507
1829,1555
1933,1589
2037,1546
2132,1496
1411,973
1517,956
1624,946
1724,970
1621,1006
1514,1012
2133,966
2241,936
2350,939
2455,951
2355,996
2246,995
1618,1762
1732,1731
1846,1718
1944,1737
2039,1711
2159,1713
2288,1733
2235,1747
2044,1775
1946,1791
1848,1782
1671,1770
2288,1733
2173,1827
2056,1885
1954,1899
1851,1892
1736,1849
1618,1762
1671,1770
1849,1776
1948,1787
2047,1769
2235,1747
