103,78
103,88
104,99
106,109
109,119
114,128
120,136
128,140
138,140
148,138
156,133
164,125
169,116
172,106
174,94
174,83
173,72
105,71
108,67
114,68
120,70
126,72
139,72
144,70
150,66
156,65
162,68
132,76
132,84
132,92
132,99
124,102
129,104
133,105
138,103
142,101
112,78
115,76
119,76
123,78
119,79
115,79
144,77
148,74
152,74
156,75
152,77
148,77
121,117
125,114
130,113
134,114
139,113
144,114
149,115
147,115
139,116
134,117
130,117
123,117
149,115
145,118
140,120
135,121
130,121
126,120
121,117
123,117
130,117
134,117
139,116
147,115
103,78
103,88
104,99
106,109
109,119
114,128
120,136
128,140
138,140
148,138
156,133
164,125
169,116
172,106
174,94
174,83
173,72
105,71
108,67
114,68
120,70
126,72
139,72
144,70
150,66
156,65
162,68
132,76
132,84
132,92
132,99
124,102
129,104
133,105
138,103
142,101
112,78
115,76
119,76
123,78
119,79
115,79
144,77
148,74
152,74
156,75
152,77
148,77
121,117
125,114
130,113
134,114
139,113
144,114
149,115
147,115
139,116
134,117
130,117
123,117
149,115
145,118
140,120
135,121
130,121
126,120
121,117
123,117
130,117
134,117
139,116
147,115
103,78
103,88
104,99
106,109
109,119
114,128
120,136
128,140
138,140
148,138
156,133
164,125
169,116
172,106
174,94
174,83
173,72
105,71
108,67
114,68
120,70
126,72
139,72
144,70
150,66
156,65
162,68
132,76
132,84
132,92
132,99
124,102
129,104
133,105
138,103
142,101
112,78
115,76
119,76
123,78
119,79
115,79
144,77
148,74
152,74
156,75
152,77
148,77
121,117
125,114
130,113
134,114
139,113
144,114
149,115
147,115
139,116
134,117
130,117
123,117
149,115
145,118
140,120
135,121
130,121
126,120
121,117
123,117
130,117
134,117
139,116
147,115
